// See `english.txt' for instructions on how to translate the game.

$mainNameOfLanguage         Deutsch
$winGameMenu                 Beenden
$winGameCommentPerfect      Perfekt! Alle gerettet!
$winGameCommentMore         Super, mehr als notwendig!
$winGameCommentExactly      Ziel haargenau erreicht!
$winGameCommentFewer        Das sind leider zu wenige.
$winGameCommentNone         Das war wohl nix. Nochmal?
$winGameResultSkillsUsed        Fähigkeiten:
$winGameResultTimeUsed          Gebrauchte Zeit:
$winGameNetFirst            Ein hervorragender Sieg!
$winGameNetSecond           Fein, guter zweiter Platz.
$winGameNetMiddle           Naja, ganz okay. Revanche?
$winGameNetLast             Schade, du liegst hinten.
$winGameNetTieForFirst        Super, einer der Ersten!
$winGameNetTieForLast         Immerhin nicht alleine unten.
$winGameNetEverybodyTies          Wie das? Kein klarer Sieger?
$winGameNetZero             Null komma nix, diese Runde!
$winGameNetEverybodyZero         Haben wir nuklearen Winter?
$winGameReplayWinOne       hat gewonnen!
$winGameReplayWinTeam      haben gewonnen!
$winGameReplayTie           Das Spiel ist unentschieden.
$winGameOverwriteTitle      Replay überschreiben?
$winGameOverwriteQuestion   Soll dieses Replay wirklich überschrieben werden?

// Help texts inside the game

$gamePause                Pause.
$gameZoom                 Level-Zoom an- oder ausschalten.
$gameSpeedSlow           Zeitlupe.
$gameSpeedFast           Schneller Vorlauf.
$gameSpeedTurbo          Turbo-Vorlauf.
$gameStateSave           Aktuellen Spielstand schnellspeichern.
$gameStateLoad           Den schnellgespeicherten Spielstand laden.
$gameRestart              Level neustarten.
$gameNuke                 Atombombe. Aktivierung durch Doppelklick.
$gameHintFirst           Einen Tipp für diesen Level lesen.
$gameHintNext            Den nächsten Tipp lesen.
$gameHintPrev            Den vorherigen Tipp lesen.
$gameHintOff             Den Tipp ausblenden.
$gameSpecTribe           Fähigkeiten eines anderen Teams ansehen.

// Editor allgemein

$editorHotkey                 Hotkey:
$editorHotkeyHold            Hotkey: halte
$editorBarAt                 an
$editorBarGroup              -Stücke-Gruppe
$editorBarHover              Stücke werden markiert
$editorBarSelection          Stücke markiert
$editorBarMoveWithKeysLong      Ziehe Stücke umher oder bewege sie mit [
$editorBarMoveWithKeysShort     Bewegen mit [
$editorBarMoveWithKeysMid       ], [
$editorBarMoveWithKeysEnd       ].

$editorButtonFileNew        Neu: Karte leeren und einen ganz neuen Level bauen.
$editorButtonFileExit       Beenden: Editor verlassen, auf Wunsch Änderungen speichern.
$editorButtonFileSave       Speichern:
$editorButtonFileSaveAs     Speichern unter: Level unter einem neuen Dateinamen abspeichern.
$editorButtonGrid2          Raster 2: Objekt-Koordinaten beim Umherziehen auf 2er runden.
$editorButtonGridCustom     Benutzerdef. Raster: In den Hauptmenü-Optionen verstellbar.
$editorButtonGrid16         Raster 16: Objekt-Koordinaten beim Umherziehen auf 16er runden.
$editorButtonSelectAll      Alles: Alle Objekte auf dem Bildschirm in die Auswahl setzen.
$editorButtonSelectFrame    Rahmen: Mehrfachauswahl von Objekten durch Rahmenziehen.
$editorButtonSelectAdd      Hinzufügen: Neue Objekte auswählen, ohne alte abzuwählen.
$editorButtonUndo           Rückgängig: Nimmt die jüngsten Änderungen am Level zurück.
$editorButtonRedo           Doch wieder: Führt zurückgenommene Änderungen doch wieder aus.
$editorButtonGroup          Gruppieren: Erzeugt ein Terrainstück aus den markierten Stücken.
$editorButtonUngroup        Degruppieren: Löst markierte Gruppen in ihre Einzelstücke auf.
$editorButtonSelectCopy     Kopieren: Ausgewählte Objekte klonen.
$editorButtonSelectDelete   Löschen: Ausgewählte Objekte löschen.
$editorButtonBackground     Hintergrund: Ausgewählte Teile hinter andere setzen.
$editorButtonForeground     Vordergrund: Ausgewählte Teile vor andere holen.
$editorButtonSelectFlip     Spiegeln: Ausgewähltes Terrain horizontal spiegeln.
$editorButtonSelectRotate   Drehen: Ausgewähltes Terrain um ein Viertel drehen.
$editorButtonSelectDark     Dunkel: Ausgewähltes Terrain im Spiel schwarz zeichnen.
$editorButtonViewZoom       Zoom: Linksklick zoomt in die Karte, Rechtsklick zoomt heraus.
$editorButtonAddTerrain     Terrain: Ein durchgrabbares Terrainstück platzieren.
$editorButtonAddSteel       Stahl: Ein nicht-durchgrabbares Stahlobjekt platzieren.
$editorButtonAddHatch       Klappe: Eine Lix-Eingangsklappe platzieren.
$editorButtonAddGoal        Ziel: Ein Ziel, also einen Lix-Ausgang platzieren.
$editorButtonAddDeco        Dekoration: Ein harmloses Dekorationsobjekt platzieren.
$editorButtonAddHazard      Gefahr: Eine Falle, Wasser oder Feuer platzieren.
$editorButtonMenuConstants  Konstanten: Namen und wichtige Zahlen einstellen.
$editorButtonMenuTopology   Topologie: Abmessungen ändern, Außenkanten verkleben.
$editorButtonMenuLooks      Aussehen: Hintergrund färben, Bildschirm-Start ändern.
$editorButtonMenuSkills     Fähigkeiten: Anzahl Lix-Fähigkeiten pro Spieler einstellen.

// SaveBrowser
$saveBrowserTitle           Speichern unter
$saveBrowserWhatToType      Tippe Dateinamen ohne Erweiterung:
$saveBoxOverwriteTitle      Überschreiben?
$saveBoxOverwriteQuestion   Diesen Level wirklich überschreiben?
$saveBoxOverwrite           Überschreiben

$saveBoxTitleDelete       Löschen?
$saveBoxTitleSave         Speichern?
$saveBoxQuestionUnsavedChangedLevel Änderungen an diesem Level speichern?
$saveBoxQuestionUnsavedNewLevel Neuen Level speichern?
$saveBoxQuestionDeleteReplay Dieses Replay wirklich löschen?
$saveBoxQuestionDeleteLevel  Diesen Level wirklich löschen?
$saveBoxDirectory         Verzeichnis:
$saveBoxFileName          Dateiname:
$saveBoxLevelName         Leveltitel:
$saveBoxYesSave                  Speichern
$saveBoxNoDiscard                Verwerfen
$saveBoxNoCancel                 Abbrechen

// BitmapBrowser
$addTerrain                   Terrain hinzufügen
$addSteel                     Stahl hinzufügen
$addHatch                     Klappe hinzufügen
$addGoal                      Ziel hinzufügen
$addDeco                      Dekoration hinzufügen
$addHazard                    Gefahr hinzufügen

// Kartengroesse
$winTopologyTitle                Topologie
$winTopologyL                    Links:
$winTopologyR                    Rechts:
$winTopologyU                    Oben:
$winTopologyD                    Unten:
$winTopologyX                    Breite:
$winTopologyY                    Höhe:
$winTopologyHex                  Hexadezimal anzeigen
$winTopologyTorusX              Horizontal rundumgehend
$winTopologyTorusY              Vertikal rundumgehend

// Scrollposition
$winLooksTitle              Aussehen
$winLooksManual             Anfangs sichtbaren Bereich manuell festlegen
$winLooksX                  X-Koordinate (0 = links)
$winLooksY                  Y-Koordinate (0 = oben)
$winLooksRed                  Hintergrund Rot
$winLooksGreen                  Hintergrund Grün
$winLooksBlue                  Hintergrund Blau
$winLooksJump               Dorthin scrollen
$winLooksCurrent            Aktuelle Position

// Variablenfenster
$winConstantsTitle           Konstanten
$winConstantsAuthor          Autor
$winConstantsLevelName       Levelname
$winConstantsPlayers         Spieler
$winConstantsInitial         Lix zu Beginn
$winConstantsRequired        Lix zu retten
$winConstantsSpawnint        Fall-Intervall
$winConstantsOvertime        Nachspielzeit

// Faehigkeits-Fenster
$winSkillsTitle              Fähigkeiten
$winSkillsUseExploder        Explodierer
$winSkillsClear              Alle auf null
$winSkillsEightTo            Klassische 8:
$winSkillsAllTo              Alle 14 auf:

// Exporting a level into a file
$exportSingleInitial         Lix:
$exportSingleRequired        Rette:
$exportSingleSpawnint        SI:
$exportMultiLix              Lix:
$exportMultiSpawnint         Fall-Int.:
$exportMultiClock            Nachspielzeit:

// Netzwerk-Chatnachrichten
$netChatStartServer         Du bist der Server. Andere Spieler koennen zu dir verbinden.
$netChatStartClient         Verbinde zu
$netChatStartCancel         Verbindungsaufbau abgebrochen.
$netChatYouLoggedOut        Du hast das Netzwerk verlassen.
$netChatYouCannotConnect    Server nicht gefunden.
$netChatYouLostConnection   Verbindung zum Server verloren!
$netChatPeerDisconnected    hat das Netzwerk verlassen.
$netChatWeTooOld           Deine Lix-Version ist zu alt, um verbinden zu koennen.
$netChatWeTooNew           Deine Lix-Version ist zu neu, um verbinden zu koennen.
$netChatSomeoneOld          Jemand wollte verbinden, aber seine Lix-Version war zu alt.
$netChatSomeoneNew          Jemand wollte verbinden, aber seine Lix-Version war zu neu.
$netChatNamedGuyOld        %s muss zunächst seine Lix-Version aktualisieren.
$netChatServerUpdate        Der Server sollte stets eine aktuelle Lix-Version nutzen.
$netChatWeInRoom           Du hast Raum Nr.
$netChatWeInRoom2         betreten.
$netChatWeInLobby          Du bist in der Lobby.
$netChatPlayerInRoom       hat Raum Nr.
$netChatPlayerInRoom2     betreten.
$netChatPlayerInLobby      hat die Lobby betreten.
$netChatPlayerOutRoom      wechselt in Raum Nr.
$netChatPlayerOutRoom2    .
$netChatPlayerOutLobby     hat den Raum verlassen.
$netChatVersionYours        Deine Version ist
$netChatVersionServer       Der Server verlangt
$netChatServerUpdate        Der Server sollte seine Lix-Version aktualisieren.
$netChatPleaseDownload      Lade die neueste Version herunter:
$netChatLevelChange         hat diesen Level gewaehlt:
$netGameStart                Das Spiel beginnt.
$netGameHowToChat1        Du kannst mit [
$netGameHowToChat2        ] chatten.
$netGameEnd                  Das Spiel ist zu Ende.
$netGameEndResult           Spielergebnis:
$netGameOvertime1           hat zu Ende gespielt und
$netGameOvertime2           Lix gerettet.
$netGameOvertime2One       eine Lix gerettet.
$netGameOvertime3           Jetzt beginnt die Nachspielzeit von
$netGameOvertime4           Minuten!
$netGameOvertime4One       Minute!
$netGameOvertime4Sec       Sekunden!

// Optionsfenster
$optionTitle                  Optionen
$optionGroupGeneral           Allgemein
$optionGroupGraphics          Grafik
$optionGroupControls          Steuerung
$optionGroupGameKeys          Spieltasten
$optionGroupEditorKeys        Editortasten
$optionGroupMenuKeys          Menütasten
$optionGroupSound             Audio
$optionUserName              Spielername
$optionLanguage              Sprache/Language
$optionReplayAutoSolutions   Level-Lösungen auto-speichern
$optionReplayAutoMulti       Im Mehrspieler auto-speichern
$optionAvoidBuilderQueuing   Builder eher an Nicht-Builder
$optionAvoidBatterToExploder Batter eher an Nicht-Exploder
$optionPausedAssign           Fähigkeitszuweisung bei Pause:
$optionPausedAssignStayPaused Gar nicht weiter
$optionPausedAssignAdvance    Nur 1 Bild weiter
$optionPausedAssignUnpause    Pause ausschalten

$optionScreenWindowed           Im Fenstermodus starten
$optionScreenWindowedRes        Fenster-Auflösung
$optionPaintTorusSeams          Torus-Nahtstellen anmalen
$optionIngameTooltips           Tooltips im Spiel
$optionShowButtonHotkeys        Button-Hotkeys anzeigen
$optionShowFPS                  Framerate (FPS) anzeigen
$optionGuiColorRed              Menüfarbe Rot
$optionGuiColorGreen            Menüfarbe Grün
$optionGuiColorBlue             Menüfarbe Blau
$optionSoundVolume              Klanglautstärke

$optionKeyZoomIn             Zoom +
$optionKeyZoomOut            Zoom −
$optionKeyScroll             Halten zum Scrollen
$optionKeyPriorityInvert     Priorität invertieren

$optionMouseSpeed            Mausgeschwindigkeit
$optionScrollSpeedEdge       Scroll-Geschw. am Bildrand
$optionScrollSpeedClick      Scroll-Geschw. mit Scrolltaste
$optionFastMovementFreesMouse Schnelle Beweg. befreit Maus

$optionKeyZoomInDesc Level größer darstellen, dafür weniger auf einmal sehen.
$optionKeyZoomOutDesc Level kleiner darstellen, dafür mehr auf einmal sehen.
$optionKeyScrollDesc Halte dies (Standard: rechte Maustaste ⟁) und bewege die Maus zum Scrollen.|Das ist einfacher, schneller und präziser als Scrollen am Bildschirmrand.
$optionKeyPriorityInvertDesc Halte dies, um Fähigkeiten der Lix mit der niedrigsten Priorität zuzuweisen.|Halte dies im Editor, um das hinterste Element anstatt des vordersten zu wählen.

$optionMouseSpeedDesc Geschwindigkeit des Mauscursors im Spiel, im Editor und im Menü.
$optionScrollSpeedEdgeDesc Scroll-Geschwindigkeit, wenn die Maus am Rand des Bildschirms ist.
$optionScrollSpeedClickDesc Scroll-Geschwindigkeit bei Mausbewegung, während die Scrolltaste gehalten wird.|Die Standard-Scrolltaste ist die rechte Maustaste ⟁, änderbar links.
$optionFastMovementFreesMouseDesc The mouse leaves the Lix window when you move quickly against the sides.|If not checked, untrap the mouse by Alt+Tab.

$optionKeyForceLeft          Nur links
$optionKeyForceRight         Nur rechts
$optionKeyPause              Pause
$optionKeyFrameBackMany      ◀▮ 1 Sek.
$optionKeyFrameBackOne       ◀▮ 1 Bild
$optionKeyFrameAheadOne      ▮▶ 1 Bild
$optionKeyFrameAheadMany     ▮▶ 10 Sek.
$optionKeySpeedFast          ▶▶
$optionKeySpeedTurbo         ▶▶▶
$optionKeyRestart            Neustart
$optionKeyStateLoad         Stand laden
$optionKeyStateSave         Stand speich.
$optionKeyChat               Chat
$optionKeySpecTribe         Team zusehen
$optionKeyNuke               Atombombe

$optionAvoidBuilderQueuing   Builder eher an Nicht-Builder
$optionAvoidBatterToExploder Batter eher an Nicht-Exploder
$optionReplayAfterFrameBack   Replay bei ◀▮ behalten
$optionPausedAssign           Fähigkeitszuweisung bei Pause:
$optionPausedAssignStayPaused Gar nicht weiter
$optionPausedAssignAdvance    Nur 1 Bild weiter
$optionPausedAssignUnpause    Pause ausschalten

$optionReplayAfterFrameBackDesc Zukünftige Replay-Aktionen beibehalten und wieder abspielen, wenn du in der Zeit zurückgehst (◀▮).|Ohne Haken: Replay-Aktionen werden entfernt, sobald sie durch ◀▮ ungeschehen gemacht werden.

$optionKeyMenuOkay           Okay/ja
$optionKeyMenuEdit           Editieren
$optionKeyMenuNewLevel       Neuer Level
$optionKeyMenuExport         Exportieren
$optionKeyMenuDelete         Löschen/nein
$optionKeyMenuUpDir          Ordner hoch
$optionKeyMenuUpBy5          Rauf um 5
$optionKeyMenuUpBy1          Rauf um 1
$optionKeyMenuDownBy1        Runter um 1
$optionKeyMenuDownBy5        Runter um 5
$optionKeyMenuExit           Zurück/abbr.

$optionEdLeft                Nach links
$optionEdRight               Nach rechts
$optionEdUp                  Nach oben
$optionEdDown                Nach unten
$optionEdSave                Speichern
$optionEdSaveAs              Speich. unter
$optionEdGrid                Raster
$optionEdSelectAll           Alles ausw.
$optionEdSelectFrame         Rahmen
$optionEdSelectAdd           Mehr ausw.
$optionEdUndo                Rückgängig
$optionEdRedo                Doch wieder
$optionEdGroup               Gruppieren
$optionEdUngroup             Degruppieren
$optionEdCopy                Kopieren
$optionEdDelete              Loeschen
$optionEdForeground          Nach vorn
$optionEdBackground          Nach hinten
$optionEdMirror              Spiegeln
$optionEdRotate              Drehen
$optionEdDark                Schwarz
$optionEdAddTerrain         Terrain hinzuf.
$optionEdAddSteel           Stahl hinzuf.
$optionEdAddHatch           Klappe hinzuf.
$optionEdAddGoal            Ziel hinzuf.
$optionEdAddDeco            Deko hinzuf.
$optionEdAddHazard          Gefahr hinzuf.
$optionEdGridCustom         Benutzerdefinierte Rastergröße

// Neuen Spieler begruessen (Mini-Dialog)
$windowAskNameTitle          Lix
$windowAskNameFirst          Hallo und Willkommen!
$windowAskNameSecond         Wie heißt du?
